id,customer_id,product_id,start_date,end_date,amount_invested,active
277934,340524,107306,2022-05-20,2023-12-29,81131.82,True
241983,392821,115083,2020-10-30,2022-03-30,5501.32,True
283515,346922,110282,2021-01-23,,28816.07,False
209029,309881,124936,2020-08-13,,73171.32,False
232221,382790,183444,2022-07-20,,71134.03,False
247541,339433,140626,2020-01-30,,54746.45,False
268660,364076,154553,2024-03-13,2024-06-05,16782.54,True
215549,327739,192254,2024-06-10,2024-06-16,66009.14,True
267180,323110,128658,2021-12-04,2023-01-01,59221.36,False
287957,386702,191949,2021-06-05,2022-01-27,77180.57,False
286883,350068,119388,2020-08-21,,52939.24,True
273786,303617,142310,2022-03-04,,63218.05,True
205028,329507,127524,2023-10-13,,98377.3,True
254890,366100,179989,2022-05-20,,55161.1,False
206491,314759,149280,2021-07-29,,74580.46,True
295123,327300,180934,2021-09-24,,72815.92,False
268444,394058,145083,2022-06-03,,73310.98,False
239279,372305,100847,2020-07-16,,32779.43,True
264772,349817,125263,2021-03-23,2021-07-11,25934.03,False
280036,364673,121577,2020-12-05,,62404.37,False
282780,386304,165289,2023-02-23,,76386.34,True
213396,325392,111515,2023-03-14,2023-10-10,14973.24,False
250204,304025,144418,2023-06-18,,48478.92,True
269663,345910,124217,2021-10-22,,66650.98,False
278729,340085,120793,2024-04-20,2024-05-20,16962.93,True
247666,366212,131199,2022-08-11,,38412.94,False
262555,336377,178907,2021-06-12,2023-05-28,94030.32,True
243248,324745,140476,2020-06-21,,21518.09,False
207618,364110,116002,2020-10-19,2021-04-03,26581.11,True
208794,350744,162712,2021-07-17,2022-08-13,59387.23,True
244240,363671,133669,2023-04-20,2023-08-25,55789.83,True
220030,386482,128470,2022-09-22,2023-10-10,3471.8,False
285308,374895,130814,2020-01-18,,3124.44,False
272754,338061,179063,2023-02-06,2023-10-27,96194.92,False
250947,394753,181122,2021-03-01,2023-05-11,25880.86,True
206290,328674,127856,2022-08-18,2023-12-04,66937.79,True
214578,345937,199939,2023-02-05,2024-01-31,62566.82,False
226135,382834,170063,2020-10-26,,94033.62,True
288832,317258,138836,2022-10-15,,6957.09,True
264988,364640,114730,2022-11-03,,23123.11,True
218891,399553,100015,2023-05-08,,61093.02,True
274797,376957,154935,2021-07-05,,87057.51,False
299014,396984,111171,2023-06-06,,38263.58,False
295220,361556,135944,2024-03-07,,75819.6,False
236951,356451,112003,2020-11-06,,74510.37,False
274176,340042,117819,2021-06-10,,81794.94,True
208144,304481,109385,2022-02-11,2024-03-11,96659.54,False
296439,371571,101604,2023-03-13,2023-10-27,44284.11,True
293135,343271,164441,2022-12-21,2023-10-24,51118.27,True
256231,374874,111265,2023-01-17,2024-05-02,40580.12,False
240054,362874,197339,2024-06-29,2024-07-03,92948.93,False
201530,349601,115749,2020-12-17,2022-09-16,9553.97,False
248400,376287,119987,2024-06-23,2024-07-04,72647.05,True
220630,353536,178676,2021-06-12,,54628.64,False
250456,315745,194779,2022-02-23,2022-12-04,9203.57,False
280217,315206,153387,2021-04-03,,31545.68,True
295163,390105,112115,2020-08-19,,83658.92,False
278603,331172,189165,2022-10-21,,35983.86,True
296013,330271,161181,2022-01-18,,42720.91,True
236756,311748,114417,2021-02-28,2024-03-31,65084.75,False
240495,394133,193189,2024-02-23,2024-06-07,27798.27,True
250788,392643,102820,2021-12-28,,93960.5,False
264582,388162,174394,2022-11-14,2024-01-26,16873.54,False
296743,341846,168332,2024-06-01,2024-06-03,37462.12,True
228016,378186,137463,2021-10-31,,92074.78,True
265989,381253,110557,2020-03-21,2020-08-11,79288.13,False
221649,375331,139247,2021-10-31,2021-12-22,95675.66,True
290670,376772,153623,2023-02-27,2023-09-19,82237.38,True
258522,376230,177826,2023-01-20,,18994.5,True
256722,343221,189991,2021-07-14,,99700.4,True
289046,327920,151658,2021-04-19,,3538.84,False
295808,330455,171428,2022-11-27,,31786.47,False
289118,357760,169620,2024-05-20,2024-06-03,95281.89,True
207932,321962,105110,2020-06-26,,61489.8,True
257205,353093,175468,2020-06-13,,65082.19,False
287662,338130,164546,2020-05-27,2021-08-04,52411.32,False
267089,341263,187147,2020-01-16,,19954.15,False
225788,385400,100142,2022-04-13,2024-06-16,3458.73,False
247601,341428,133544,2023-06-07,2024-03-22,6189.84,True
259432,301424,140856,2023-04-28,,68816.47,True
267526,331984,111683,2022-10-27,2023-07-30,91441.79,True
273116,308727,149595,2021-02-10,2024-05-23,56531.14,False
202576,314498,114219,2022-07-25,2024-06-14,52465.2,False
210380,396267,198981,2020-11-06,2023-09-16,19486.94,True
229354,331762,190068,2020-03-31,,82878.87,False
218328,310686,144237,2021-06-18,,3733.68,False
200062,383948,158338,2020-05-09,,61573.62,False
229528,398714,159967,2024-03-17,,20185.24,True
233291,367876,116487,2023-05-16,,10671.55,True
244785,305381,135651,2023-06-09,,54958.01,False
260639,306675,141373,2020-02-02,2020-06-14,86827.36,True
245062,347499,182396,2023-12-27,2024-01-28,73354.59,True
217423,315748,157087,2022-10-20,2023-11-03,64568.24,False
247220,348320,181962,2020-12-30,,68455.99,False
296592,361077,125407,2020-03-23,2021-02-14,62480.95,False
254596,330915,148515,2023-04-10,,39953.89,True
254122,362156,191011,2023-09-24,,23725.12,False
295842,334650,104443,2020-11-20,2023-09-02,14920.94,True
200903,345617,192240,2022-07-27,2024-04-26,51279.71,True
276161,367461,101900,2023-09-29,,94917.53,False
215255,386461,152499,2023-08-14,,7520.53,True
233054,339376,176013,2020-02-13,2021-07-29,8240.15,True
227919,306039,121841,2020-12-15,,94867.53,True
294026,332584,117392,2022-05-20,,34423.77,False
283282,321252,124990,2021-05-03,2023-09-24,44264.74,True
238748,395037,164226,2021-09-13,,87221.64,True
298782,312295,114872,2021-07-24,,34025.26,False
206370,376444,175801,2024-04-07,2024-06-16,6235.75,True
222951,326197,154511,2022-01-15,2022-02-25,90883.05,True
208054,337535,115120,2021-09-27,2024-06-07,66711.59,True
253371,360280,147135,2020-06-22,,81531.89,False
208511,358459,147544,2022-07-11,,69631.15,True
209685,385749,173091,2020-12-01,2022-11-04,70706.48,False
228222,370236,171169,2023-03-09,2023-09-17,18746.86,False
267231,384977,122711,2020-09-02,2023-05-13,71884.26,True
269677,327933,189780,2020-11-14,2022-04-11,61396.53,True
299876,349560,125138,2023-09-24,,69360.67,False
288948,371776,126550,2023-12-27,2024-02-05,47865.65,False
255611,354277,121699,2022-06-09,2024-05-29,40883.61,True
292822,385076,178829,2021-09-17,2022-08-19,33081.08,True
277385,384659,176804,2020-08-21,,1384.59,True
214888,389433,187130,2020-06-12,,33785.65,True
282831,342856,181152,2020-09-06,,30384.63,True
255593,346037,134319,2021-06-17,,84754.31,False
220113,331737,124751,2021-04-12,,49043.51,True
226678,335467,175551,2021-05-25,2022-06-26,40810.1,True
250525,369318,119395,2023-12-21,,59453.45,True
220271,345927,184014,2024-06-17,2024-06-30,17815.17,False
261593,322246,116033,2023-12-21,,19577.01,False
229012,308043,141649,2023-11-26,,13974.06,False
224130,324885,175328,2023-11-20,,49545.56,True
209043,319800,138432,2023-02-21,,3493.59,False
271211,328200,149518,2024-04-23,2024-04-23,76119.54,True
200741,331359,118708,2023-08-23,,35426.06,True
231255,322324,184975,2021-10-24,,87124.24,False
294748,344190,143968,2022-08-11,,40749.19,True
230794,367891,100368,2023-09-17,2024-02-10,87687.87,False
245384,351846,179551,2021-12-02,,49980.96,True
238553,394558,103181,2021-10-03,,15787.03,True
216270,399794,114257,2023-02-07,2024-01-22,65867.38,False
204986,350317,144227,2020-03-31,,21230.53,True
294563,330099,113606,2022-07-08,2023-11-16,27872.99,False
224081,341331,141899,2020-08-17,,89805.4,False
223711,311099,154445,2022-12-05,,98525.31,False
267531,347729,167313,2022-03-30,,37901.56,False
204995,340059,172088,2022-05-07,2022-10-06,49679.16,True
207576,345151,116432,2020-08-11,,54086.46,False
264237,306939,162217,2023-07-27,,11263.96,True
292320,387194,170621,2020-12-06,2021-09-05,75570.58,True
263959,329526,145339,2021-01-12,2022-03-06,82645.29,True
275230,327636,152505,2024-02-29,2024-05-14,34155.46,True
220753,319374,164885,2021-03-23,,40901.08,False
298093,302659,113669,2021-07-02,,28292.59,True
223061,384783,169502,2020-04-04,,55472.82,False
232522,380655,146566,2023-04-18,,25035.45,False
282567,309737,148194,2022-04-02,2023-08-04,33931.53,False
207223,363638,156830,2023-10-23,2023-11-27,98851.32,True
213540,322450,132344,2021-12-05,,22081.34,True
295137,373694,110969,2022-09-19,2022-11-17,50046.08,True
295789,311802,137660,2024-02-09,,16369.85,True
269665,359032,120864,2021-08-25,2023-04-09,32252.11,False
286885,313040,102838,2024-01-12,2024-05-27,90214.21,True
237894,340124,110454,2021-01-07,2024-03-02,84904.27,True
201100,324072,182290,2023-11-24,,88543.36,True
260550,304167,150732,2020-04-17,,2443.04,True
269715,319360,185549,2021-10-09,,46198.94,True
241164,314207,133019,2020-01-16,,72551.52,False
297769,308455,105280,2020-12-28,2022-01-02,68867.75,False
289638,378512,132666,2023-01-15,2024-04-17,5280.69,True
229537,301509,110138,2022-10-14,,86149.1,False
249413,354915,141824,2022-10-27,,36343.72,False
216762,321262,167425,2022-11-23,2024-02-11,83249.99,False
261005,310575,110396,2024-04-26,,51663.03,False
218245,375429,158814,2022-07-12,,51893.64,False
200760,302310,174679,2020-01-15,,13751.76,False
269535,394535,168355,2022-09-26,2024-06-05,9633.7,True
285596,395076,162451,2023-03-19,2024-04-06,38554.93,False
266845,390473,126705,2023-08-01,,51297.52,True
279698,364967,117675,2020-03-08,,42750.68,False
258737,363431,111434,2024-02-17,2024-06-17,39301.2,True
240847,303493,133756,2023-10-13,2024-06-06,21944.8,True
297517,361656,167428,2023-11-22,,95920.27,True
207447,326130,158587,2023-12-05,,69883.39,True
226318,381783,142098,2020-10-14,,90299.62,True
220757,303750,125110,2023-06-03,,85050.08,False
286820,397922,138695,2021-06-12,,20847.49,False
212142,391352,151036,2022-02-27,2024-04-11,72176.17,True
229049,300170,191970,2022-09-07,,53790.01,False
280384,355978,161728,2024-03-20,2024-05-29,60661.99,True
259768,316948,188477,2023-04-22,2024-01-02,71104.09,True
212407,344626,186424,2020-02-07,2020-05-17,79648.92,True
222825,347208,172827,2024-01-20,2024-04-16,50674.38,False
296987,374756,131161,2021-12-10,,31793.53,True
230382,364343,141796,2024-02-24,2024-02-25,54105.43,True
210240,342477,185808,2020-05-11,2022-07-01,84868.96,False
282729,316551,180098,2022-05-27,,94858.74,True
296213,376310,160713,2021-09-25,2021-11-19,20868.62,True
230964,312069,129760,2021-03-23,2021-04-15,20408.98,True
259621,300019,166121,2022-05-30,2024-06-05,69301.71,True
261054,314658,160435,2022-12-12,2024-06-20,73772.7,False
246102,391037,145521,2023-04-09,2023-12-02,79042.56,False
274037,378822,123346,2021-09-21,,4411.51,False
256383,300736,122512,2024-06-25,,14363.61,True
218789,381981,137552,2020-02-21,2023-12-21,59652.91,True
201603,345816,134565,2020-12-11,2021-03-04,5078.6,False
213054,380010,153886,2023-06-02,2023-07-24,73051.8,False
234607,378314,180340,2020-04-11,2021-06-23,15632.47,True
223418,339460,159621,2024-05-22,2024-06-18,98891.82,True
227264,368957,107637,2023-04-25,2024-02-08,15110.41,False
217330,380607,189780,2022-04-06,2022-09-14,22010.28,False
239786,368842,124120,2022-10-03,,45908.2,True
204888,306409,135057,2021-04-23,,85287.76,False
286119,370760,153462,2020-10-03,,9516.17,False
294708,308779,101531,2021-04-12,2023-04-07,49901.14,False
275538,312155,180219,2022-10-27,,56032.23,True
279923,320033,123132,2020-02-02,,47891.32,False
273178,377629,155948,2020-05-31,2023-07-30,63792.64,False
231687,346974,130016,2022-03-15,,70318.25,False
291407,325109,161555,2021-08-03,,48244.49,True
295426,347278,114349,2020-08-31,,93425.13,False
296306,338257,190712,2022-05-31,,9170.78,False
286627,344353,109859,2021-02-07,2023-03-01,6457.94,True
240894,393889,109994,2021-06-30,2023-08-22,50387.08,True
244759,390160,137286,2020-03-09,2023-08-13,10975.35,True
204721,367865,137288,2022-07-28,,17723.16,True
239087,325426,122376,2020-12-28,2021-10-09,46796.37,True
284588,375227,142322,2023-04-04,2023-05-10,24865.28,True
211884,386835,194055,2024-01-03,2024-06-16,35850.51,False
273145,338738,123489,2020-08-28,2023-05-04,99374.66,False
276175,328383,184473,2021-11-04,2022-01-26,44512.8,True
278473,377350,167226,2023-02-28,2023-04-04,20692.27,True
286953,379747,120580,2023-07-15,2024-01-21,97600.66,True
244498,315523,173397,2020-11-25,,41842.48,False
281203,347478,113691,2022-09-07,2024-06-06,66043.82,True
283561,344494,107300,2023-03-25,2024-02-22,98309.09,False
296614,353777,159333,2023-09-25,,28140.22,False
250886,387786,120893,2020-10-29,2021-05-27,80672.36,False
213771,300081,114462,2023-07-14,,10873.79,False
268022,372512,121549,2020-10-17,2024-03-01,50903.62,False
231833,301819,162644,2020-10-09,,8861.89,True
284029,328743,145815,2022-09-16,2022-12-29,60463.1,False
226428,372803,180143,2022-10-21,2023-08-02,19674.49,True
283578,380362,193334,2021-09-02,,14643.79,False
235860,384854,197588,2023-12-11,,13111.76,True
275925,344081,105133,2024-01-24,2024-02-14,2819.34,False
200774,309814,106312,2020-02-08,,66956.98,False
266609,333300,108595,2020-10-02,2022-10-08,33005.39,True
265457,316118,141149,2023-04-15,2024-03-26,37905.17,True
261090,392364,144193,2021-08-10,2023-08-15,84300.16,False
273689,321726,127451,2021-06-05,,6713.27,False
272382,308139,128985,2023-08-28,,54420.16,False
281512,377377,172966,2021-03-12,2022-11-08,47383.55,False
219523,332754,176291,2020-06-30,2023-08-05,43373.98,True
210384,319272,114990,2023-08-31,2023-10-15,8420.81,True
297592,354906,197542,2022-09-08,2024-02-17,13914.85,False
241143,306151,120856,2022-10-13,,84162.97,False
296305,391201,120541,2021-02-05,2024-04-16,15611.95,True
299999,386954,126128,2021-03-20,,51260.14,True
209592,370020,155067,2023-11-18,2024-06-28,71013.46,False
206968,368709,164266,2021-03-22,2023-11-18,80776.88,True
279832,320497,109722,2021-06-27,2024-01-08,97731.73,True
249838,371792,143026,2023-11-08,2024-02-08,56243.1,False
270425,304590,178762,2023-09-09,,15426.91,False
247544,381031,126545,2021-05-05,2024-02-17,2232.72,True
256919,358772,138736,2023-04-17,,64528.26,True
220113,350769,174128,2022-01-13,2023-08-07,85642.46,True
263987,380852,129121,2023-04-27,2024-03-20,99322.37,False
251088,377258,153707,2023-02-18,2023-06-06,85426.06,False
227440,344607,170646,2021-08-17,,96296.46,True
273912,303339,132587,2023-10-23,2023-11-13,30802.18,True
235380,390356,108106,2023-08-25,2024-06-21,48152.17,True
237922,308719,121116,2023-09-10,2024-05-20,94007.16,True
255364,308031,189166,2020-01-24,2023-06-26,28056.48,True
255542,391012,150237,2021-04-08,,25619.76,False
246727,348488,198460,2024-01-18,2024-02-06,12606.72,False
244631,307867,132752,2021-02-12,,37599.6,True
289588,372614,158053,2022-01-22,,23954.19,True
272230,398662,135966,2024-02-22,,84319.44,False
201565,341273,144813,2021-10-30,2024-04-24,37595.35,True
296929,367438,166770,2020-06-14,2024-04-12,56776.54,True
247638,364439,152525,2022-02-25,,79150.78,True
202562,342847,172234,2023-12-25,,21202.98,False
251982,365027,155853,2023-08-08,2024-01-05,21430.84,False
260825,360155,173981,2022-11-21,,38476.3,True
213402,396708,167454,2021-06-30,2021-12-15,77521.63,False
235556,372596,145601,2023-12-02,,99292.11,False
262671,311638,108790,2021-05-18,2021-11-06,60462.05,False
264900,396678,110269,2020-08-23,2021-02-06,66771.03,True
255637,343570,167105,2021-02-18,2023-11-09,78793.07,False
218378,381572,141261,2022-01-20,,60957.06,False
216531,322845,136060,2023-07-30,,62601.27,True
254246,310023,136706,2021-08-10,,2956.54,True
229533,302516,187603,2020-08-19,,58732.06,False
242140,393737,129978,2021-11-06,2022-05-27,64296.81,True
273859,392163,197119,2021-10-02,,82072.4,False
291220,344111,110268,2022-05-08,2022-10-09,1204.38,False
286290,343441,115340,2022-04-08,,17474.71,True
296035,332887,125718,2022-04-13,,39090.43,True
275881,362651,106642,2022-05-13,,42422.72,True
278088,376074,128939,2022-09-12,2024-02-27,48037.83,True
280301,310487,107286,2020-06-13,2021-09-29,70930.09,False
260888,332219,119314,2023-03-01,2024-05-22,21801.25,True
274864,385895,112948,2021-08-31,2024-01-28,34928.97,True
272488,357615,120652,2023-08-31,,33708.69,True
229173,341397,119213,2024-05-29,,21896.26,False
254026,342242,188483,2020-11-07,2023-11-25,17772.57,False
205383,301857,128174,2020-07-24,2023-09-16,59915.39,False
215355,332422,151389,2020-12-09,2022-08-29,82961.5,True
233001,338104,122460,2022-01-15,,18512.45,False
262778,352409,100630,2024-05-09,,32149.74,False
219290,346956,198513,2023-03-03,2024-06-06,83828.43,True
215987,387583,154148,2023-12-06,,33405.83,False
224300,359454,198767,2022-10-10,2023-09-07,9743.84,False
232532,324455,183968,2023-11-02,,15024.83,False
297583,347095,167561,2023-08-27,,74260.39,True
229629,311236,170767,2020-01-21,,52966.2,True
264163,306187,152178,2023-03-14,2024-01-11,83533.93,True
207587,334937,136167,2023-12-28,,30013.46,True
261651,360977,156155,2020-12-29,,56857.84,True
280070,399532,172215,2023-06-18,2023-08-07,89867.6,True
255310,358243,106189,2022-09-07,,62271.34,True
244452,399502,144390,2021-03-03,,92357.31,False
213237,301101,149664,2024-03-07,2024-04-11,98127.95,True
237673,312847,188068,2023-09-23,,50485.81,False
211547,397771,142511,2022-10-04,,67299.94,True
234564,388565,124878,2022-03-26,2024-03-09,64004.57,True
204624,363133,190076,2023-09-01,,30390.37,False
292750,308262,124683,2021-08-10,,11626.57,False
269409,383364,148649,2023-08-07,,65374.3,False
293507,330655,152820,2021-09-01,,47194.57,False
273049,365204,199070,2023-02-24,,68843.26,False
254385,377401,130609,2020-05-15,,14300.04,False
293975,387358,146291,2023-06-10,,2597.22,False
222729,387994,139389,2024-01-20,2024-01-23,9490.2,True
285500,352650,195186,2024-05-03,2024-05-12,34398.75,False
295109,370717,162295,2022-09-20,2023-11-08,54618.96,False
287958,379158,137844,2022-05-21,,49600.56,False
257591,350694,122242,2022-07-18,,68877.55,True
251273,362023,110019,2021-05-14,2023-08-18,68920.84,False
219586,358546,156111,2020-12-02,2021-08-25,45920.17,False
215221,381251,184022,2023-12-27,2024-04-01,88064.83,True
233618,342271,140286,2021-02-11,,40348.36,True
267860,352950,163137,2020-01-30,2020-03-15,45843.45,False
205382,376270,117740,2024-03-23,,28705.73,True
205568,342554,153812,2022-10-27,,80150.79,False
204327,334306,111300,2021-06-24,2023-11-12,3238.05,True
252921,366907,170268,2023-03-22,,75240.71,False
248090,374491,161134,2020-07-11,2022-06-11,67189.32,False
238076,379117,186309,2021-06-14,2022-02-25,25211.31,True
275012,355395,114647,2023-11-12,,67403.8,False
225720,356790,109597,2024-01-12,,23106.71,False
235777,375993,122177,2024-01-23,2024-02-24,46717.63,True
228971,392420,192561,2022-04-04,,58142.77,True
233453,302876,119213,2022-12-08,2023-08-15,90406.86,False
265946,345133,194439,2020-03-24,,73564.01,True
277436,382936,184520,2022-03-20,,67520.11,True
220652,336159,118111,2022-04-05,2023-07-03,94900.6,False
256094,323325,132935,2023-02-27,2024-04-30,45245.95,True
243544,341487,169588,2020-08-13,2022-03-12,33584.76,False
267364,337203,188503,2020-02-05,,75209.81,True
239837,310697,187901,2021-05-09,2024-02-27,2678.96,True
296812,347507,189289,2023-02-21,,77598.51,False
298605,312329,103985,2021-07-02,,94767.77,False
217743,371417,144112,2020-12-11,2021-09-28,28995.75,True
288156,365774,111898,2024-01-24,,27875.27,True
258274,319658,192906,2020-03-13,2022-07-23,29088.72,True
248144,376902,152490,2020-12-17,,8556.52,True
271589,325329,188445,2021-11-19,,7795.12,True
273603,325345,143456,2021-01-12,,52217.38,False
266290,380120,157924,2022-04-30,2022-05-04,50203.91,True
270360,341794,111615,2021-10-21,,18388.21,False
299339,302050,152144,2023-07-04,,70563.06,False
274535,305462,118894,2021-01-06,,32002.19,False
237369,349262,149913,2023-12-27,2024-06-01,70247.54,True
252909,376097,184272,2023-10-29,,91884.14,True
230582,371129,162145,2023-03-09,,94048.92,True
231711,392098,141784,2022-04-13,2023-12-02,1012.4,True
268086,366503,175809,2021-07-28,2024-03-01,60310.18,True
240124,325846,199887,2023-11-16,2024-06-29,18722.24,True
288928,306706,117845,2023-06-30,2023-12-05,10465.65,True
226553,379414,155563,2021-09-06,,12601.02,False
227995,360634,171703,2024-03-30,,54715.22,False
232204,378929,174647,2023-12-29,2024-01-02,55743.93,False
203375,323296,193884,2020-01-29,2024-05-01,50652.07,False
224379,343639,112255,2020-02-26,2020-03-28,82830.23,True
258144,355243,191395,2022-02-05,,74470.67,True
291151,362540,116998,2023-03-05,,65898.81,False
230934,314137,175438,2020-09-28,2020-10-16,7404.53,True
220748,336634,110170,2023-06-01,,93515.83,True
261425,387449,133773,2022-05-06,2023-03-29,28078.83,True
285080,392171,135253,2024-02-09,,77386.51,False
254187,327273,128021,2022-01-26,,81744.1,True
235119,356042,152899,2023-04-09,2023-05-17,7933.4,False
289070,398013,172502,2020-12-02,,47250.95,False
233419,353062,126642,2023-03-16,,68708.11,False
252643,389743,179291,2021-07-01,2022-04-18,9743.82,True
264326,388473,106712,2023-05-31,,28416.97,True
200290,304178,169212,2021-07-28,2022-10-10,16287.94,True
206819,395194,177732,2024-01-22,,70363.38,True
202545,396772,199224,2020-06-14,,36140.77,False
215885,393927,177817,2021-03-14,,86161.95,False
281415,370160,145928,2024-06-11,2024-06-20,45668.57,True
229581,329316,169056,2020-01-13,,53905.49,False
264389,336311,181134,2022-08-29,2023-09-19,68554.12,False
284252,321883,179963,2023-01-10,2023-08-10,65241.19,True
207583,388179,174045,2021-09-25,,48045.91,False
281765,338204,192507,2020-06-13,,8260.14,True
217598,340157,171944,2021-02-24,,49656.25,False
294399,314588,187155,2021-02-22,2022-01-05,5527.29,True
271406,326538,189357,2021-09-21,2021-10-16,75424.27,False
219952,354355,190122,2024-05-28,,22678.38,True
244919,377763,154346,2023-03-05,,33036.56,True
232268,330453,109280,2024-06-09,2024-06-13,80512.25,True
286397,339839,105164,2023-01-14,,95938.6,True
210439,316670,105890,2020-05-27,2022-09-08,86209.88,True
231128,338512,130484,2021-01-12,,46994.22,True
213023,334457,142377,2024-01-12,,81423.81,True
210034,389054,121727,2020-04-22,,80426.5,False
286652,325869,176090,2020-12-19,2021-01-19,35054.69,True
254043,307600,169157,2021-04-22,,91751.76,True
284563,345803,174804,2022-07-10,,87689.04,False
206479,324601,164701,2020-07-09,,73502.39,False
294226,345957,121846,2022-10-01,,58588.33,True
259512,329545,135890,2023-12-13,2024-07-04,98196.01,False
284733,348211,194914,2024-04-29,,42634.57,True
216773,375416,166433,2024-02-18,,72350.55,True
279050,337004,130709,2024-04-06,2024-06-13,45913.2,True
263812,379037,136253,2021-10-10,2024-06-27,20366.31,True
243915,386110,109392,2023-11-17,,29179.05,False
263823,369189,145857,2022-05-16,,23620.03,False
217359,337806,185914,2020-02-07,,81015.38,False
243112,355358,107221,2023-09-10,2023-10-04,19531.6,True
237305,393599,163611,2024-03-11,,30707.83,False
298213,305130,113254,2022-09-15,,10238.46,True
212815,379529,183145,2021-07-30,,42621.27,True
202969,333333,115643,2022-12-08,2023-10-11,97113.44,False
276167,388605,198878,2021-01-07,,41924.6,False
223272,379735,182240,2020-09-28,2024-06-04,51292.68,True
203522,352727,114861,2023-03-22,2023-12-15,53437.91,True
258669,380097,163267,2021-12-25,,65038.63,True
299359,396026,112287,2021-10-17,2022-07-09,40204.83,True
279832,368863,128625,2020-01-11,2022-09-07,7547.86,False
245852,327796,168261,2022-04-04,2022-06-06,83901.52,True
298059,363088,142970,2022-10-17,2024-02-02,50289.98,True
201690,337227,156362,2020-12-04,2023-05-18,65339.24,False
208022,312423,195874,2024-04-05,2024-05-11,11649.47,False
288584,324950,176632,2021-10-10,,55382.55,False
294445,358188,130849,2021-07-07,2022-02-15,65616.05,True
236826,315803,110270,2023-09-08,2023-11-22,79577.78,False
258393,371909,167010,2020-09-08,,76638.43,True
273116,346194,199835,2023-04-12,2024-02-06,13828.92,True
